dept,division,code,name,last_name,first_name,term,year,item1,item2,item3,item4,item5,item6,enthusiasm,workload,recommend,invited,respondents,course
ANA,ARTSC,ANA300Y1,Human Anat Histol,Ballyk,Barbara,Winter,2018,4.6,4.8,4.8,4.2,4.2,4.4,4.9,4.3,4.0,177.0,52,Human Anat Histol ANA300Y1-Y-LEC0101
ANA,ARTSC,ANA300Y1,Human Anat Histol,Faiz,Maryam,Winter,2018,4.6,4.8,3.6,4.2,4.2,4.4,3.7,4.3,4.0,177.0,52,Human Anat Histol ANA300Y1-Y-LEC0101
ANA,ARTSC,ANA301H1,Human Embryology,Bentley,Danielle,Winter,2018,4.7,4.9,4.8,4.4,4.4,4.5,4.9,3.9,4.4,166.0,92,Human Embryology ANA301H1-S-LEC0101
ANA,ARTSC,ANA400H1,Anatomy Dissections,Bentley,Danielle,Winter,2018,5.0,5.0,5.0,4.9,4.9,5.0,5.0,3.7,5.0,20.0,13,Anatomy Dissections ANA400H1-S-LEC0101
ANA,ARTSC,ANA300Y1,Human Anat Histol,Ballyk,Barbara,Winter,2017,4.6,4.8,4.7,4.1,4.0,4.2,4.8,4.5,3.9,236.0,133,Human Anat Histol ANA300Y1-Y-LEC0101
ANA,ARTSC,ANA301H1,Human Embryology,Abdalahad,Nagham,Winter,2017,4.4,4.5,4.3,3.9,4.0,4.0,4.6,3.6,4.1,168.0,129,Human Embryology ANA301H1-S-LEC0101
ANA,ARTSC,ANA400H1,Anatomy Dissections,Noyan,Hossein,Winter,2017,4.9,5.0,4.9,4.6,4.5,4.8,4.9,3.9,4.9,18.0,18,Anatomy Dissections ANA400H1-S-LEC0101
ANA,ARTSC,ANA400H1,Anatomy Dissections,Bidmos,Mubarak,Winter,2016,4.9,4.9,4.8,4.5,4.7,4.8,4.8,3.6,4.8,19.0,17,Anatomy Dissections ANA400H1-S-LEC0101
ANA,ARTSC,ANA300Y1,Human Anat Histol,Ballyk,Barbara,Winter,2016,4.7,4.8,4.8,4.3,4.2,4.5,4.9,4.4,4.2,255.0,120,Human Anat Histol ANA300Y1-Y-LEC0101
ANA,ARTSC,ANA301H1,Human Embryology,Bidmos,Mubarak,Winter,2016,4.5,4.7,4.6,4.2,4.2,4.3,4.7,3.4,4.4,168.0,63,Human Embryology ANA301H1-S-LEC0101
ANA,ARTSC,ANA300Y1,Human Anat Histol,Ballyk,Barbara,Winter,2015,4.6,4.9,4.9,4.2,4.1,4.4,4.9,4.4,4.3,209.0,60,Human Anat Histol ANA300Y1-Y-LEC0101
ANA,ARTSC,ANA301H1,Human Embryology,Taylor,Ian,Winter,2015,4.2,4.4,3.3,3.2,3.2,3.6,3.5,3.8,3.6,294.0,82,Human Embryology ANA301H1-S-LEC0101
ANA,ARTSC,ANA301H1,Human Embryology,Wiley,Mike,Winter,2015,4.2,4.4,4.1,3.2,3.2,3.6,4.0,3.8,3.6,294.0,82,Human Embryology ANA301H1-S-LEC0101
ANA,ARTSC,ANA400H1,Anatomy Dissections,Taylor,Ian,Winter,2015,5.0,5.0,5.0,4.9,4.9,5.0,5.0,4.0,5.0,19.0,10,Anatomy Dissections ANA400H1-S-LEC0101
ANA,ARTSC,ANA300Y1,Human Anat Histol,Ballyk,Barbara,Winter,2013,4.6,4.7,4.8,4.4,4.4,4.5,,4.1,4.4,254.0,143,Human Anat Histol -ANA300Y1-LEC0101
ANA,ARTSC,ANA301H1,Human Embryology,Morshead,Cindi,Winter,2013,4.4,4.5,3.7,3.9,3.9,4.0,,3.6,4.1,404.0,189,Human Embryology -ANA301H1-LEC0101
ANA,ARTSC,ANA301H1,Human Embryology,Taylor,Ian,Winter,2013,4.4,4.5,3.7,3.9,3.9,4.0,,3.6,4.1,404.0,189,Human Embryology -ANA301H1-LEC0101
ANA,ARTSC,ANA301H1,Human Embryology,Wiley,Mike,Winter,2013,4.4,4.5,4.5,3.9,3.9,4.0,,3.6,4.1,404.0,189,Human Embryology -ANA301H1-LEC0101
ANA,ARTSC,ANA300Y1,Human Anat Histol,Ballyk,Barbara,Winter,2014,4.7,4.8,4.8,4.3,4.3,4.5,4.9,4.4,4.5,273.0,140,Human Anat Histol ANA300Y1-LEC0101
ANA,ARTSC,ANA301H1,Human Embryology,Morshead,Cindi,Winter,2014,4.3,4.4,3.6,3.6,3.5,3.7,3.8,3.7,3.8,415.0,131,Human Embryology ANA301H1-LEC0101
ANA,ARTSC,ANA301H1,Human Embryology,Taylor,Ian,Winter,2014,4.3,4.4,3.5,3.6,3.5,3.7,3.8,3.7,3.8,415.0,131,Human Embryology ANA301H1-LEC0101
ANA,ARTSC,ANA301H1,Human Embryology,Wiley,Mike,Winter,2014,4.3,4.4,4.4,3.6,3.5,3.7,4.3,3.7,3.8,415.0,131,Human Embryology ANA301H1-LEC0101
ANA,ARTSC,ANA300Y1,Human Anat Histol,Laprade,Judith,Summer,2013,4.7,4.7,4.7,4.5,4.4,4.3,,4.2,4.1,83.0,11,Human Anat Histol ANA300Y1-LEC0101
ANA,ARTSC,ANA300Y1,Human Anat Histol,Sun,Hong Shuo,Summer,2013,4.7,4.7,3.2,4.5,4.4,4.3,,4.2,4.1,83.0,11,Human Anat Histol ANA300Y1-LEC0101
ANA,ARTSC,ANA300Y1,Human Anat Histol,Bidmos,Mubarak,Summer,2014,4.4,4.6,4.2,4.2,4.3,4.1,4.4,4.3,4.2,101.0,38,Human Anat Histol ANA300Y1-LEC0101
ANA,ARTSC,ANA300Y1,Human Anat Histol,Laprade,Judith,Summer,2014,4.4,4.6,4.7,4.2,4.3,4.1,4.7,4.3,4.2,101.0,38,Human Anat Histol ANA300Y1-LEC0101
ANA,ARTSC,ANA300Y1,Human Anat Histol,Sun,Hong-Shuo,Summer,2014,4.4,4.6,2.5,4.2,4.3,4.1,2.9,4.3,4.2,101.0,38,Human Anat Histol ANA300Y1-LEC0101
ANA,ARTSC,ANA300Y1,Human Anat Histol,Ballyk,Barbara,Winter,2019,4.61,4.7,4.7,4.1,4.2,4.3,4.7,4.3,4.0,281.0,203,Human Anat Histol ANA300Y1-Y-LEC0101
ANA,ARTSC,ANA400H1,Anatomy Dissections,Bentley,Danielle,Winter,2019,4.87,4.9,4.7,4.7,4.7,4.7,4.8,4.1,4.9,15.0,15,Anatomy Dissections ANA400H1-S-LEC0101
ANA,ARTSC,ANA301H1,Human Embryology,Bentley,Danielle,Winter,2019,4.67,4.8,4.8,4.3,4.2,4.4,4.9,4.1,4.1,190.0,96,Human Embryology ANA301H1-S-LEC0101
ANA,ARTSC,ANA411H1,Anatomy in Application,Laprade,Judith,Winter,2019,4.9,4.9,4.8,4.6,4.7,4.9,5.0,4.0,4.6,13.0,10,Anatomy in Application ANA411H1-S-LEC0101
ANA,ARTSC,ANA300Y1,Human Anat Histol,Faiz,Maryam,Fall,2018,4.6,4.8,3.8,4.2,4.3,4.3,4.1,4.2,4.1,355.0,92,Human Anat Histol ANA300Y1-Y-LEC0101
ANT,ARTSC,ANT100Y1,Intro Anthropology,Friesen,T,Winter,2018,3.4,4.1,3.4,2.9,3.2,3.4,2.9,2.1,3.8,43.0,10,Intro Anthropology ANT100Y1-Y-LEC2501
ANT,ARTSC,ANT100Y1,Intro Anthropology,Kalmar,Ivan,Winter,2018,3.4,4.1,3.9,2.9,3.2,3.4,3.7,2.1,3.8,43.0,10,Intro Anthropology ANT100Y1-Y-LEC2501
ANT,ARTSC,ANT100Y1,Intro Anthropology,Lehman,Shawn,Winter,2018,3.4,4.1,4.7,2.9,3.2,3.4,4.7,2.1,3.8,43.0,10,Intro Anthropology ANT100Y1-Y-LEC2501
